classes
Adobe Layer
Air Hammer Operator
Blaster
Blockmason
Boiler Installer
Boiler Mechanic
Boiler Tester
Boilermaker
Brick Chimney Builder
Brickmason
Brickmason Blockmason
Building Carpenter
Carpenter
Carpenter Supervisor
Carpet Installer
Cement Mason Concrete Finisher
Cement Patcher
Channeling Machine Operator
Concrete Finisher
Concrete Floor Installer
Concrete Swimming Pool Installer
Construction  Building Inspector
Construction Building Inspector
Construction Carpenter
Construction Coordinator
Construction Craft Laborer
Construction Equipment Operator
Construction Laborer
Construction Manager
Construction Related Worker
Construction Superintendent
Construction Trench Digger
Continuous Mining Machine Operator
Custom Wood Stair Builder
Derrick Operator
Drywall  Ceiling Tile Installer
Earth Driller
Electrical Sign Wirer
Electrician
Elevator Installer
Extraction Worker
Floor Layer
Floor Sander Finisher
Glazier
Granite Setter
Hazardous Materials Removal Worker
Highway Maintenance Worker
Insulation Worker
Marble Setter
Master Electrician
Mining Machine Operator
Monument Mason
Operating Engineer
Ordnance Handling Expert
Painter
Paperhanger
Pile-Driver Operator
Pipe Fitter
Pipelayer
Plasterer
Plumber
Quarry Boss
Rail-Track Laying Maintenance Equipment Operator
Refractory Bricklayer
Rig Supervisor
Roof Bolter
Roofer
Rotary Drill Operator
Segmental Paver
Septic Tank Servicer
Service Unit Operator
Sewer Pipe Cleaner
Sheet Metal Worker
Solar Energy Installation Manager
Solar Panel Installation Supervisor
Solar Photovoltaic Electrician
Solar Photovoltaic Installer
Solar Thermal Installer
Steamfitter
Stonemason
Taper
Terrazzo Worker Finisher
Tile  Marble Setter
Weatherization Installer
Wood Floor Layer
