classes
Airline Pilot
Ambulance Driver
Attendant
Auto Carrier Driver
Automotive Master Mechanic
Aviation Inspector
Avionics Technician
Bicycle Repairer
Billing and Posting Clerk
Bus Driver
Captain
Cement Truck Driver
Chauffeur
Cleaner
Copilot
Diesel Engine Specialist
Dispatcher
Distribution Manager
Dump Truck Driver
Emergency Medical Technician
Flight Engineer
Freight Agent
Freight Forwarder
Garbage Truck Driver
Grocery Light Truck Driver
Inventory Clerk
Locomotive Engineer
Logistics Analyst
Machine Operator
Mate
Mobile Heavy Equipment Mechanic
Motor Vehicle Emissions Inspector
Motor Vehicle Operator
Motorboat Mechanic
Motorboat Operator
Motorcycle Mechanic
Newspaper Delivery Driver
Operations Technologist
Packager
Packer
Parcel Truck Driver
Pizza Delivery Driver
Rail Car Repairer
Rail Transportation Worker
Rail Yard Engineers
Railcar Switcher
Railroad Brake
Railroad Car Inspector
Railroad Conductor
Recreational Vehicle Service Technician
Repairer
School Bus Driver
Service Technician
Ship Engineer
Ship Loader
Ship and Boat Captain
Shuttle Driver
Streetcar Operator
Supply Chain Manager
Taxi Driver
Technician
Tire Repairer
Tractor Operator
Traffic Technician
Transportation Manager
Truck Driver
Yardmaster
