classes
Adhesive Bonding Machine Operator
Aircraft De-Icer Installer
Aluminum Polisher
Amusement Machine Servicers Repairer
Anode Builder
Answering Service
Assembly Line Supervisor
Audiovisual Equipment Installer
Battery Builder
Bench Carpenter
Biofuels Processing Technician
Biomass Plant Technician
Boilermaker
Cabinetmaker
Calibration Technologist
Chemical Equipment Operator
Chemical Plant System Operator
Circuit Board Assembler
Coil Winder
Cold Header Operator
Electric Motor Controls Assembler
Electron Beam Welder Setter
Fabricator
Forging Roll Operator
Machinist Supervisor
Metal Grinder
Metal Pickling Equipment Operator
Molten Iron Pourer
Printing Worker Supervisor
Switchboard Operator
Systems Assembler
Tool Polishing Machine Operator
Ultrasonic Welding Machine Operator
