classes
Applications Analyst
Applications Programmer
Applications Tester
Clinical Data Manager
Computational Theory Scientist
Computer Applications Engineer
Computer Language Coder
Computer Network Support Specialist
Computer Occupations
Computer Programmers
Computer Systems Engineer
Computer and Information Research Scientist
Control System Computer Scientist
Data Processing Systems Analyst
Database Developer
Database Programmer
Database Security Administrator
Digital Designer
Graphic Web Designer
IT Programmer
IT Risk Specialist
Network Security Analyst
Network Support Technician
Network Technician
Network and Computer Systems Administrators
Quality Assurance Engineer
Software Engineer
Systems Architect
Systems Programmer
Systems Software Developer
Web Architect
