classes
Advertising Sales Agent
Cashier
Cashier Supervisor
Commodities Trader
Commodity
Delicatessen Department Manager
Door-To-Door Sales Worker
Energy Broker
Grocery Checker
Insurance Sale Agent
Insurance Sales Agent
Mutuel Teller
Non-Retail Sales Worker
Part Salesperson
Product Promoter
Sale Representative
Sales Agent
Sales Related Worker
Sales Representative
Slot Attendant
Street Vendor
Toll Collector
Used Car Salesperson
Women's Apparel Salesperson
