classes
Admiral
Biofuels Production Manager
Biomass Power Plant Manager
Brownfield Redevelopment Specialists Site Manager
Chief Financial Officer
Chief Operating Officer
Chief Sustainability Officer
City Council Member
Clinical Research Coordinator
Compensation  Benefits Manager
Compliance Manager
Conference Center Manager
Department Store Manager
Director of University Housing
Distance Learning Coordinator
E-Learning Manager
Emergency Management Director
General Superintendent
Governor
Information Systems Manager
Job Analysis Manager
Labor Relations Director
Labor Training Manager
Management Analyst
Operational Risk Manager
Position Description Manager
Records Management Director
Records and Information Manager
School Superintendent
Stadium Manager
Tribal Council Member
University President
University Registrar
