classes
Animal Cruelty Investigation Supervisor
Bank Guard
Bodyguard
Bouncer
Correctional Officer
Corrections Sergeant
Criminal Investigator
Crossing Guard
Customs Border Protection Officer
Detective
Detective Lieutenant
Digital Forensics Analyst
Fire Engine Pump Operator
Fire Inspector
Fire Lieutenant
Firefighter
Flagger
Forest Firefighter
Gambling Investigator
Gambling Surveillance Officer
Game Warden
Gaming Surveillance Officer
Immigration Customs Inspector
Intelligence Analyst
Jailer
Lifeguard
Loss Prevention Supervisor
Municipal Fire Fighting and Prevention Supervisor
Parking Enforcement Worker
Patrol Officer
Police Detective
Police Lieutenant
Prevention Specialist
Prison Guard Supervisor
Private Detective
Protective Service Worker
Security Guard Supervisor
Sheriff
Ski Patrol
Smoke Jumper
Special Agent
Supervising Fire Marshal
TSA Screener Supervisor
Traffic Sergeant
